prices.amountMax,prices.amountMin,Disponibilidad,Estado,prices.isSale,Tienda Precio,Envios,Categoria Principal,secondary category
255.57,255.57,In Stock,New,0,walmart,Free Standard Shipping,TV and accessories,TV and accessories
259.99,259.99,In Stock,New,0,bestbuy,Free Standard Shipping,TV and accessories,TV and accessories
179.95,179.95,Special Order,New,0,bhphotovideo,Minimum Order Free Shipping,TV and accessories,TV and accessories
259.99,259.99,In Stock,New,0,bestbuy,Free Standard Shipping,TV and accessories,TV and accessories
269.74,269.74,In Stock,New,0,walmart,Free Expedited Shipping,TV and accessories,TV and accessories
276.43,276.43,In Stock,New,0,walmart,Paid Shipping,TV and accessories,TV and accessories
286.99,286.99,Special Order,New,0,bhphotovideo,Minimum Order Free Shipping,TV and accessories,TV and accessories
207.99,207.99,In Stock,New,1,bestbuy,Free Standard Shipping,TV and accessories,TV and accessories
379.95,379.95,Special Order,New,0,bhphotovideo,Minimum Order Free Shipping,TV and accessories,TV and accessories
267.38,267.38,In Stock,New,0,walmart,Free Expedited Shipping,TV and accessories,TV and accessories
98.0,98.0,In Stock,New,0,bhphotovideo,Minimum Order Free Shipping,Wireless Tech,Wireless Tech
99.99,99.99,In Stock,New,0,bhphotovideo,Minimum Order Free Shipping,Wireless Tech,Wireless Tech
99.99,99.99,In Stock,New,0,bestbuy,Minimum Order Free Shipping,Wireless Tech,Wireless Tech
128.59,128.59,In Stock,New,0,walmart,Free Standard Shipping,Wireless Tech,Wireless Tech
249.99,249.99,In Stock,New,0,walmart,Free Expedited Shipping,Wireless Tech,Wireless Tech
181.98,181.98,In Stock,New,0,bestbuy,Minimum Order Free Shipping,Wireless Tech,Wireless Tech
125.99,125.99,In Stock,New,0,bestbuy,Minimum Order Free Shipping,Wireless Tech,Wireless Tech
99.79,99.79,In Stock,New,0,walmart,Free Expedited Shipping,Wireless Tech,Wireless Tech
127.99,127.99,In Stock,New,0,bestbuy,Minimum Order Free Shipping,Wireless Tech,Wireless Tech
118.59,118.59,In Stock,New,0,walmart,Free Expedited Shipping,Wireless Tech,Wireless Tech
109.41,109.41,In Stock,New,0,walmart,Free Expedited Shipping,Wireless Tech,Wireless Tech
249.99,249.99,In Stock,New,0,bestbuy,Minimum Order Free Shipping,Wireless Tech,Wireless Tech
799.99,799.99,Special Order,New,0,bhphotovideo,Minimum Order Free Shipping,TV and accessories,TV and accessories
799.98,799.98,In Stock,New,0,bestbuy,Free Standard Shipping,TV and accessories,TV and accessories
59.99,59.99,In Stock,New,0,bestbuy,Free Standard Shipping,Audio and accessories,Audio
23.99,23.99,In Stock,New,1,bestbuy,Free Standard Shipping,Audio and accessories,Audio
799.99,799.99,In Stock,New,0,bestbuy,Free Standard Shipping,TV and accessories,TV
599.99,599.99,In Stock,New,0,walmart,Free Expedited Shipping,TV and accessories,TV
599.99,599.99,In Stock,New,1,bestbuy,Free Standard Shipping,TV and accessories,TV
699.99,699.99,In Stock,New,0,walmart,Free Expedited Shipping,TV and accessories,TV
